1,60,60
2,360,60
3,560,60
4,660,60
5,860,60
6,1060,60
7,1160,60
8,60,160
9,260,160
10,360,160
11,460,160
12,560,160
13,660,160
14,860,160
15,960,160
16,1010,160
17,1060,160
18,60,260
19,260,260
20,410,260
21,460,260
22,660,260
23,760,260
24,860,260
25,60,360
26,160,360
27,260,360
28,410,360
29,760,360
30,960,360
31,1010,360
32,1060,360
33,1160,360
34,1010,410
35,160,460
36,260,460
37,360,460
38,410,460
39,560,460
40,660,460
41,760,460
42,1010,460
43,1060,460
44,1160,460
45,60,560
46,160,560
47,360,560
48,460,560
49,560,560
50,660,560
51,760,560
52,860,560
53,1160,560
54,60,660
55,260,660
56,360,660
57,460,660
58,660,660
59,760,660
60,860,660
61,1160,660
62,510,360
63,560,360
64,610,360
65,660,360
66,560,310
67,610,310
68,560,260
69,610,260

